iteration,verb,status,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms
48,POST,400,5.31,30.85,60.77,278.91,279.17
49,OPTIONS,204,2.79,31.73,48.93,249.42,249.48
49,POST,400,2.4,36.01,42.38,243.48,243.77
50,OPTIONS,204,7.15,31.54,55.7,261.44,261.51
50,POST,400,5.18,31.57,45.64,245.95,246.4
51,OPTIONS,204,5.72,30.39,48.21,262.29,262.43
51,POST,400,4.38,32.09,46.78,247.64,248.0
52,OPTIONS,204,2.52,31.11,52.82,254.05,254.16
52,POST,400,2.99,29.63,44.72,242.86,243.23
53,OPTIONS,204,4.83,29.49,46.15,242.23,242.27
53,POST,400,4.58,30.01,42.49,253.41,253.52
54,OPTIONS,204,3.18,30.31,47.22,247.85,247.91
54,POST,400,3.49,33.31,51.57,253.42,254.16
55,OPTIONS,204,5.21,31.0,47.87,247.87,248.0
55,POST,400,5.74,34.98,54.25,268.35,268.65
56,OPTIONS,204,6.62,29.44,54.31,250.9,251.04
56,POST,400,4.76,32.69,47.12,257.65,257.92
57,OPTIONS,204,6.55,33.21,55.84,267.55,267.68
57,POST,400,6.88,33.56,52.49,264.89,265.34
58,OPTIONS,204,4.88,30.52,54.53,255.49,255.92
58,POST,400,3.17,31.22,54.16,264.3,264.78
59,OPTIONS,204,4.93,36.23,51.97,255.33,255.43
59,POST,400,4.78,29.58,50.5,253.17,253.68
60,OPTIONS,204,4.91,37.49,47.25,252.39,252.49
60,POST,400,3.9,31.71,50.08,247.12,247.56
61,OPTIONS,204,3.1,30.37,61.38,276.43,276.54
61,POST,400,4.74,28.59,61.71,279.2,279.56
62,OPTIONS,204,5.59,31.04,42.89,246.45,246.55
62,POST,400,4.85,34.24,43.02,262.97,263.38
63,OPTIONS,204,4.71,29.73,44.0,240.03,240.09
63,POST,400,3.6,29.54,43.54,252.59,255.83
64,OPTIONS,204,5.07,28.38,47.87,252.78,252.96
64,POST,400,2.6,29.15,44.23,239.92,240.19
65,OPTIONS,204,5.32,30.48,50.01,242.08,242.21
65,POST,400,4.15,51.34,49.55,272.15,272.54
66,OPTIONS,204,3.97,30.04,50.57,247.95,248.05
66,POST,400,4.97,30.17,44.63,238.92,239.22
67,OPTIONS,204,6.38,30.36,53.1,281.13,281.26
67,POST,400,5.32,31.82,43.6,242.58,243.01
68,OPTIONS,204,3.17,26.76,52.51,248.85,248.91
68,POST,400,3.75,28.3,40.6,245.77,246.12
69,OPTIONS,204,7.89,29.63,48.9,249.23,249.34
69,POST,400,4.62,30.97,47.76,244.74,245.15
70,OPTIONS,204,3.45,28.41,48.92,246.07,246.12
70,POST,400,3.71,31.55,47.85,240.37,240.74
71,OPTIONS,204,3.6,39.01,47.23,257.3,257.39
71,POST,400,4.55,30.17,48.56,250.7,251.05
72,OPTIONS,204,5.37,29.94,48.17,245.11,245.18
72,POST,400,3.65,28.79,52.29,252.46,252.82
73,OPTIONS,204,5.26,30.2,47.83,257.01,257.08
73,POST,400,5.62,29.88,51.55,259.9,260.47
74,OPTIONS,204,4.79,31.16,46.95,250.87,250.98
74,POST,400,3.97,29.96,46.86,243.55,243.92
75,OPTIONS,204,4.52,33.13,47.69,246.18,246.3
75,POST,400,4.18,29.42,44.06,236.52,237.02
76,OPTIONS,204,5.61,29.12,45.04,245.18,245.23
76,POST,400,3.53,30.31,53.51,261.15,261.79
77,OPTIONS,204,3.83,28.96,46.57,246.83,246.96
77,POST,400,10.42,30.54,47.9,259.08,259.53
78,OPTIONS,204,11.37,29.06,45.5,241.81,242.11
78,POST,400,3.01,33.14,51.19,263.92,264.27
79,OPTIONS,204,3.51,28.96,61.14,267.36,267.49
79,POST,400,4.87,29.51,51.19,245.95,246.3
80,OPTIONS,204,4.15,31.59,48.41,265.54,265.64
80,POST,400,5.02,37.92,46.73,261.16,261.51
81,OPTIONS,204,13.7,30.02,49.31,258.55,258.65
81,POST,400,6.21,30.33,50.68,247.05,247.49
82,OPTIONS,204,3.38,28.89,48.48,242.1,242.21
82,POST,400,4.85,29.9,45.44,244.13,244.56
83,OPTIONS,204,7.68,33.63,46.5,257.82,257.89
83,POST,400,4.51,34.13,50.63,282.27,282.54
84,OPTIONS,204,5.05,30.54,48.02,253.72,253.91
84,POST,400,8.65,29.52,46.92,257.23,257.45
85,OPTIONS,204,4.34,28.55,54.41,255.02,255.12
85,POST,400,5.28,29.49,43.03,240.12,240.49
86,OPTIONS,204,6.41,29.22,48.28,245.94,246.04
86,POST,400,4.13,35.58,43.47,247.08,247.55
87,OPTIONS,204,3.13,29.28,47.15,245.2,245.27
87,POST,400,4.03,31.82,49.47,252.14,252.52
88,OPTIONS,204,5.41,34.26,50.67,261.44,261.51
88,POST,400,3.61,28.81,49.29,251.69,252.0
89,OPTIONS,204,3.11,24.19,46.26,234.85,234.95
89,POST,400,4.23,29.42,49.29,253.18,253.56
90,OPTIONS,204,6.02,32.25,50.07,258.3,258.36
90,POST,400,3.45,32.3,49.61,254.8,255.09
91,OPTIONS,204,7.52,33.63,50.57,269.57,269.66
91,POST,400,8.24,35.43,48.64,253.21,253.63
92,OPTIONS,204,5.19,28.92,49.35,247.39,247.47
92,POST,400,5.08,30.99,55.63,261.63,262.04
93,OPTIONS,204,5.04,30.43,46.7,244.94,245.14
93,POST,400,5.36,28.48,51.4,244.38,244.86
94,OPTIONS,204,4.77,30.29,54.3,255.55,255.66
94,POST,400,4.39,28.78,47.64,244.06,244.46
95,OPTIONS,204,5.25,30.04,54.22,259.17,259.24
95,POST,400,5.32,31.53,47.86,251.21,251.61
96,OPTIONS,204,8.06,30.98,48.66,263.0,263.13
96,POST,400,12.47,31.56,45.36,256.08,256.56
97,OPTIONS,204,5.22,28.64,45.84,243.1,243.17
97,POST,400,4.16,33.59,47.11,257.39,257.82
98,OPTIONS,204,4.21,33.87,49.21,255.38,255.46
