iteration,verb,status,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms
48,POST,200,4.0,31.04,48.43,256.75,257.01
49,OPTIONS,204,4.66,33.85,48.7,260.23,260.31
49,POST,200,14.26,31.87,58.6,293.9,294.18
50,OPTIONS,204,4.96,33.42,47.16,633.34,633.49
50,POST,200,5.04,31.7,50.93,265.51,266.02
51,OPTIONS,204,4.1,33.43,53.27,282.2,282.3
51,POST,200,5.52,35.93,54.19,265.9,266.35
52,OPTIONS,204,3.43,29.4,45.67,259.96,260.08
52,POST,200,3.8,29.13,45.36,241.49,241.77
53,OPTIONS,204,9.79,31.75,49.62,256.88,256.95
53,POST,200,3.46,31.03,46.09,244.81,245.19
54,OPTIONS,204,4.38,29.3,70.64,272.11,272.21
54,POST,200,6.26,29.46,49.17,253.86,254.16
55,OPTIONS,204,4.88,30.89,49.94,260.79,260.92
55,POST,200,5.09,31.98,50.35,265.31,265.52
56,OPTIONS,204,4.89,29.66,44.94,258.47,258.58
56,POST,200,5.54,31.74,47.39,243.55,244.18
57,OPTIONS,204,4.79,30.82,45.93,246.77,246.98
57,POST,200,4.71,36.49,49.94,570.36,570.82
58,OPTIONS,204,5.83,28.9,45.05,244.36,244.44
58,POST,200,4.87,30.46,45.71,249.75,250.26
59,OPTIONS,204,4.95,30.99,47.28,253.35,253.53
59,POST,200,4.38,31.28,55.53,275.74,276.03
60,OPTIONS,204,3.43,28.41,45.22,244.61,244.73
60,POST,200,5.13,31.09,51.1,250.05,250.4
61,OPTIONS,204,3.91,31.44,48.38,253.58,253.68
61,POST,200,6.76,29.77,61.79,263.24,263.68
62,OPTIONS,204,3.61,27.67,47.77,239.49,239.56
62,POST,200,5.08,34.13,50.11,262.4,262.62
63,OPTIONS,204,4.83,32.69,50.27,241.05,241.11
63,POST,200,4.0,32.17,52.05,282.02,282.4
64,OPTIONS,204,11.62,31.9,63.98,274.92,274.99
64,POST,200,5.02,37.13,57.47,273.66,274.19
65,OPTIONS,204,4.8,32.58,59.63,328.97,329.08
65,POST,200,6.73,30.07,51.15,252.77,253.4
66,OPTIONS,204,5.44,29.83,49.38,248.42,248.49
66,POST,200,5.4,30.95,49.94,270.36,270.68
67,OPTIONS,204,6.59,28.7,49.56,244.58,244.71
67,POST,200,7.01,30.72,50.69,259.45,259.82
68,OPTIONS,204,4.02,31.69,49.54,261.31,261.49
68,POST,200,4.93,35.31,52.13,267.35,267.8
69,OPTIONS,204,5.49,30.21,49.62,251.07,251.14
69,POST,200,5.25,31.96,53.22,255.93,256.21
70,OPTIONS,204,5.49,30.26,50.75,249.15,249.26
70,POST,200,3.65,29.6,57.67,250.72,255.37
71,OPTIONS,204,4.65,28.93,47.39,253.9,253.98
71,POST,200,5.54,34.32,52.07,257.32,257.59
72,OPTIONS,204,5.57,30.15,53.58,273.71,273.82
72,POST,200,4.85,32.16,48.66,259.84,260.38
73,OPTIONS,204,7.09,29.82,45.83,248.9,249.02
73,POST,200,8.49,29.39,54.37,275.02,275.34
74,OPTIONS,204,5.03,31.77,51.77,263.12,263.25
74,POST,200,5.21,35.95,50.34,266.85,267.33
75,OPTIONS,204,8.27,31.03,46.46,257.28,257.36
75,POST,200,5.54,28.97,45.88,247.23,247.53
76,OPTIONS,204,3.5,28.31,57.05,260.12,260.18
76,POST,200,3.23,30.17,44.4,245.73,246.19
77,OPTIONS,204,4.51,32.33,48.73,633.29,633.43
77,POST,200,4.9,29.31,58.84,294.16,294.61
78,OPTIONS,204,5.26,35.49,51.66,277.96,278.08
78,POST,200,15.98,31.16,45.09,257.77,258.1
79,OPTIONS,204,2.37,31.55,51.98,267.76,267.82
79,POST,200,3.79,30.17,51.79,261.5,261.67
80,OPTIONS,204,5.97,29.11,48.99,254.84,254.92
80,POST,200,5.07,28.98,47.13,245.38,245.83
81,OPTIONS,204,6.38,30.32,48.72,255.75,255.87
81,POST,200,5.34,34.55,47.24,258.04,258.53
82,OPTIONS,204,6.79,31.69,49.08,252.1,252.18
82,POST,200,5.39,35.75,52.41,271.69,272.22
83,OPTIONS,204,5.1,31.54,48.6,249.61,249.74
83,POST,200,4.8,29.59,59.84,270.27,270.74
84,OPTIONS,204,5.67,31.49,48.15,247.45,247.56
84,POST,200,5.11,29.46,49.76,256.59,256.93
85,OPTIONS,204,5.46,29.83,47.88,249.11,249.18
85,POST,200,3.33,29.16,52.74,261.07,261.56
86,OPTIONS,204,4.09,29.37,56.64,306.13,306.22
86,POST,200,5.05,29.58,45.65,251.58,251.84
87,OPTIONS,204,8.41,30.33,48.25,249.19,249.28
87,POST,200,6.83,29.07,55.01,252.8,253.28
88,OPTIONS,204,5.55,31.24,67.82,282.9,283.03
88,POST,200,5.11,30.65,49.64,264.84,265.36
89,OPTIONS,204,5.6,30.64,52.69,269.21,269.39
89,POST,200,5.34,35.75,41.27,246.79,247.34
90,OPTIONS,204,6.13,29.43,48.31,253.79,253.95
90,POST,200,4.57,30.92,46.66,244.79,245.23
91,OPTIONS,204,8.26,31.64,43.54,252.42,252.53
91,POST,200,5.46,29.18,47.27,260.37,260.89
92,OPTIONS,204,5.19,29.59,45.13,232.99,233.1
92,POST,200,5.25,28.61,45.61,254.48,255.05
93,OPTIONS,204,8.37,30.75,50.81,264.03,264.11
93,POST,200,4.84,30.84,60.81,306.04,306.42
94,OPTIONS,204,5.25,34.14,56.28,283.75,283.87
94,POST,200,4.78,30.57,52.99,251.4,251.81
95,OPTIONS,204,5.08,29.09,46.0,250.24,250.33
95,POST,200,5.25,28.69,61.72,305.56,306.1
96,OPTIONS,204,5.58,30.97,53.09,266.57,266.66
96,POST,200,4.45,30.81,47.77,263.44,263.94
97,OPTIONS,204,4.64,33.25,51.22,256.63,256.72
97,POST,200,4.52,29.96,44.08,248.48,249.01
98,OPTIONS,204,3.87,33.61,46.52,255.75,255.85
98,POST,200,5.1,31.34,50.24,254.98,255.42
99,OPTIONS,204,5.21,29.13,48.86,246.68,246.77
99,POST,200,7.73,34.08,42.52,243.51,244.0
100,OPTIONS,204,6.14,33.35,47.86,262.4,262.49
100,POST,200,6.27,31.95,46.44,252.31,252.77
101,OPTIONS,204,5.68,30.55,50.98,262.26,262.35
101,POST,200,6.65,33.85,47.09,256.66,257.21
102,OPTIONS,204,5.5,38.88,46.99,261.13,261.25
102,POST,200,4.94,30.55,55.86,273.89,274.4
103,OPTIONS,204,3.92,31.38,59.0,270.02,270.13
103,POST,200,3.38,29.21,45.27,246.59,247.61
104,OPTIONS,204,4.17,30.12,54.23,250.98,251.08
104,POST,200,5.24,36.21,45.79,244.76,245.28
105,OPTIONS,204,5.27,32.06,51.86,260.86,260.93
105,POST,200,5.98,31.74,48.88,271.41,272.02
106,OPTIONS,204,6.74,30.55,49.69,253.02,253.11
106,POST,200,12.42,32.11,53.38,266.13,266.38
107,OPTIONS,204,5.77,29.68,49.69,254.74,254.84
107,POST,200,4.98,30.56,52.58,268.21,268.72
108,OPTIONS,204,5.7,29.91,47.38,245.8,245.88
108,POST,200,5.44,33.28,53.36,255.39,255.79
109,OPTIONS,204,2.92,28.59,48.28,249.15,249.28
109,POST,200,4.34,32.5,54.33,293.38,293.87
110,OPTIONS,204,6.25,29.56,45.79,249.58,249.76
110,POST,200,4.11,31.41,64.35,262.11,262.51
111,OPTIONS,204,4.95,32.15,51.85,254.3,254.4
111,POST,200,4.26,28.91,43.77,250.47,250.82
112,OPTIONS,204,4.82,30.02,61.86,272.76,272.87
112,POST,200,4.21,36.11,47.68,263.88,264.43
113,OPTIONS,204,4.32,31.17,49.56,263.66,263.73
